,SECID,SECNAME,FACEVALUE,COUPONPERCENT
199,RU000A0JX355,ПАО НК Роснефть 001P-02,1000.0,7.0
200,RU000A0JX3M0,ДОМ РФ ИА 001P,77.84,
201,RU000A0JX413,ПАО НК Роснефть 001P-03,1000.0,9.5
202,RU000A0JX5W4,Альфа-Банк АО обл. БО-18,1000.0,9.3
203,RU000A0JXE06,ГосТранспортЛизингКомп 001P-03,1000.0,18.2
204,RU000A0JXFS8,Газпром капитал ООО БО-05,1000.0,
205,RU000A0JXFY6,Газпром капитал ООО БО-06,1000.0,
206,RU000A0JXGV0,АКБ ПЕРЕСВЕТ ПАО С01,329.0,0.51
207,RU000A0JXJK7,"""Российские ЖД"" ОАО БО-11",1000.0,8.65
208,RU000A0JXJM3,"ПАО ""ПСБ"" обл.02",1000.0,16.0
209,RU000A0JXJP6,"ПАО ""ПСБ"" обл.03",1000.0,16.0
210,RU000A0JXK99,ТрансФин-М ПАО 001P-02,1000.0,8.5
211,RU000A0JXLU2,СФО Локосервис финанс ООО 01,410.0,8.68
212,RU000A0JXME4,ПАО ЧТПЗ 001P-03,1000.0,9.7
213,RU000A0JXMP0,Почта России (АО) БО-04,1000.0,6.5
214,RU000A0JXN05,"""Российские ЖД"" БО-001P-01R",1000.0,9.05
215,RU000A0JXN21,"АФК ""Система"" ПАО БО-001P-06",1000.0,10.5
216,RU000A0JXP45,ГПБ (АО) БО-16,1000.0,6.1
217,RU000A0JXPG2,ГосТранспортЛизингКомп 001P-04,1000.0,12.33
218,RU000A0JXPK4,Транснефть ПАО БО-07,1000.0,8.75
219,RU000A0JXPN8,Ростелеком ПАО 001P-02R,1000.0,13.2
220,RU000A0JXQ44,"""Российские ЖД"" БО-001P-02R",1000.0,8.5
221,RU000A0JXQ51,АВТОБАН-Финанс АО БО-П01,1000.0,10.0
222,RU000A0JXQK2,ПАО НК Роснефть 001P-04,1000.0,8.5
223,RU000A0JXR43,Республика Саха (Якутия) об.09,250.0,8.59
224,RU000A0JXR68,ПАО НК Роснефть 001P-05,1000.0,8.6
225,RU000A0JXR84,"""Российские ЖД"" БО-001P-03R",1000.0,8.4
226,RU000A0JXRD5,Почта России (АО) БО-001P-02,1000.0,7.05
227,RU000A0JXRM6,ДОМ РФ ИА 01,184.33,
228,RU000A0JXRV7,Альфа-Банк АО обл. БО-20,1000.0,8.85
229,RU000A0JXS59,Почта России (АО) БО-001P-03,1000.0,9.85
230,RU000A0JXS83,Ярославская обл. об.2017г.,875.0,8.4
231,RU000A0JXSD3,Волгоградская обл. 35007 обл.,300.0,7.9
232,RU000A0JXSF8,"""Трубная Мет.Комп."" ПАО БО-07",1000.0,10.4
233,RU000A0JXSS1,Акрон (ПАО) БО-001P-02,1000.0,5.0
234,RU000A0JXT41,Самарская область 2017,250.0,8.19
235,RU000A0JXT58,Международн.инвест.банк БО1P-1,1000.0,0.01
236,RU000A0JXTS9,ГОВОЗ РФ 12840078V (RU),200000.0,4.25
237,RU000A0JXTW1,Белгородская обл.2017 обл.,125.0,8.25
238,RU000A0JXTY7,ПАО ЧТПЗ 001P-04,1000.0,10.4
239,RU000A0JXU14,ГОВОЗ РФ 12840079V (RU),200000.0,5.25
240,RU000A0JXUD9,Республика Коми 2017 14 обл.,500.0,8.4
241,RU000A0JXVB1,ТрансФин-М ПАО 001P-03,1000.0,10.5
242,RU000A0JXVH8,ФУ Тамбовской области 35003,250.0,8.4
243,RU000A0JXXD3,ПАО НК Роснефть 001P-06,1000.0,17.0
244,RU000A0JXXE1,ПАО НК Роснефть 001P-07,1000.0,17.0
245,RU000A0JXYL4,"""Газпром нефть"" ПАО 001P-02R",1000.0,8.25
246,RU000A0JXYS9,Краснодарский кр. 35001 обл.,400.0,8.6
247,RU000A0JXZB2,"""Российские ЖД"" БО-001P-04R",1000.0,8.25
248,RU000A0JY023,ГосТранспортЛизингКомп 001P-05,145.0,4.9
249,RU000A0JY031,Респ.Марий Эл 2017обл.08,250.0,8.6
250,RU000A0NNE02,Банк ВТБ (ПАО) Б-1-178,1000.0,0.01
251,RU000A0NNE28,Банк ВТБ (ПАО) Б-1-180,1000.0,0.01
252,RU000A0NNE36,Банк ВТБ (ПАО) Б-1-181,1000.0,0.01
253,RU000A0NNE44,Банк ВТБ (ПАО) Б-1-182,1000.0,0.01
254,RU000A0NNE69,Банк ВТБ (ПАО) Б-1-184,1000.0,0.01
255,RU000A0NNE77,Банк ВТБ (ПАО) Б-1-185,1000.0,0.01
256,RU000A0NNE85,Банк ВТБ (ПАО) Б-1-186,1000.0,0.01
257,RU000A0NNE93,Банк ВТБ (ПАО) Б-1-187,1000.0,0.01
258,RU000A0NNEA2,Банк ВТБ (ПАО) Б-1-188,1000.0,0.01
259,RU000A0NNEB0,Банк ВТБ (ПАО) Б-1-189,1000.0,0.01
260,RU000A0NNEC8,Банк ВТБ (ПАО) Б-1-190,1000.0,0.01
261,RU000A0NNED6,Банк ВТБ (ПАО) Б-1-191,1000.0,0.01
262,RU000A0NNEE4,Банк ВТБ (ПАО) Б-1-192,1000.0,0.01
263,RU000A0NNEF1,Банк ВТБ (ПАО) Б-1-193,1000.0,0.01
264,RU000A0NNEG9,Банк ВТБ (ПАО) Б-1-194,1000.0,0.01
265,RU000A0NNEK1,Банк ВТБ (ПАО) Б-1-197,1000.0,0.01
266,RU000A0NNEL9,Банк ВТБ (ПАО) Б-1-198,1000.0,0.01
267,RU000A0NNEM7,Банк ВТБ (ПАО) Б-1-199,1000.0,0.01
268,RU000A0NNEN5,Банк ВТБ (ПАО) Б-1-200,1000.0,0.01
269,RU000A0NNEP0,Банк ВТБ (ПАО) Б-1-201,1000.0,0.01
270,RU000A0NNEQ8,Банк ВТБ (ПАО) Б-1-202,1000.0,0.01
271,RU000A0NNHL2,Банк ВТБ (ПАО) С-1-252,1000.0,0.0
272,RU000A0NRCD1,Банк ВТБ (ПАО) С-1-627,1000.0,0.01
273,RU000A0NTYA7,Банк ВТБ (ПАО) С-1-713,1000.0,0.01
274,RU000A0NTYB5,Банк ВТБ (ПАО) С-1-714,1000.0,0.01
275,RU000A0NX2N4,Банк ВТБ (ПАО) С-1-733,1000.0,0.01
276,RU000A0NX415,ВЭБ.РФ ПБО-001Р-К440,1000.0,14.49
277,RU000A0NX423,ВЭБ.РФ ПБО-001Р-К441,1000.0,14.5
278,RU000A0UD6J8,Банк ВТБ (ПАО) С-1-475,1000.0,0.0
279,RU000A0UD6R1,Банк ВТБ (ПАО) С-1-482,1000.0,0.0
280,RU000A0UD6S9,Банк ВТБ (ПАО) С-1-483,1000.0,0.0
281,RU000A0ZYAP9,ГосТранспортЛизингКомп 001P-06,686.67,16.5
282,RU000A0ZYB40,Минфин Кузбасса 2017,250.0,8.2
283,RU000A0ZYBA9,ООО Трансп.Концесс.Комп. кл.A2,1000.0,10.9
284,RU000A0ZYBM4,Альфа-Банк АО обл. БО-21,1000.0,13.05
285,RU000A0ZYC31,Авангард-Агро АО БО-001P-01,1000.0,11.75
286,RU000A0ZYCD1,Курская область 35001 об.,300.0,7.96
287,RU000A0ZYCM2,Красноярский край  обл.13,500.0,7.85
288,RU000A0ZYCP5,ПАО НК Роснефть 001P-08,1000.0,13.1
289,RU000A0ZYDD9,Транснефть ПАО БО-001P-08,1000.0,7.9
290,RU000A0ZYDH0,"""ФСК Россети""(ПАО) БО-03",1000.0,8.0
291,RU000A0ZYDU3,Свердловская обл. 04,400.0,7.7
